Time [HH:MM:SS],H [deg],V [deg],D [mm]
17:08:27.135943000,46.8537078074081,89.7082554948613,20351.5845125882
17:08:27.145943400,46.8619944578128,89.7085929515031,20346.4900952591
17:08:27.155943199,46.8713205615623,89.7082135659103,20344.5684017228
17:08:27.165943199,46.8792324655487,89.7101308277599,20332.7176540334
17:08:27.175943400,46.8906166648786,89.7075643667705,20335.7656752143
17:08:27.185943099,46.9010031172575,89.7068823594859,20331.4632194177
17:08:27.195943099,46.9117685976474,89.7082329442149,20326.6703924482
17:08:27.205942900,46.9232355286384,89.7066041049986,20321.4677990691
17:08:27.215943400,46.9332655576181,89.7076844390622,20325.8670761682
17:08:27.225943300,46.9426986461454,89.7049685662673,20315.1973608736
17:08:27.235943099,46.9507790379574,89.7051444292686,20311.104008983
17:08:27.245943599,46.9651402822502,89.7050876440231,20303.3914289649
17:08:27.255943300,46.9730044902172,89.705906033698,20303.0152264145
17:08:27.265943099,46.9793268971658,89.7076128503201,20297.1401887521
17:08:27.275943499,46.991369347845,89.7042959634997,20298.773068672
17:08:27.285943300,47.0040918139275,89.7065239495219,20290.8894192674
17:08:27.295943300,47.0116089217308,89.7063461726857,20288.5387215565
17:08:27.305943000,47.0212476872212,89.7081976553621,20286.3330772745
17:08:27.315943499,47.0331738157228,89.70418176833,20280.4275604088
17:08:27.325943199,47.0426587849823,89.7061226324755,20276.1706306478
17:08:27.335943199,47.0536813900584,89.7040104852453,20273.9571125182
17:08:27.345943499,47.0628612644669,89.7041061592182,20274.8363222556
17:08:27.355943499,47.0714333830856,89.706297923323,20271.0220091998
17:08:27.365943199,47.0798831355711,89.7059740173185,20264.3227111891
17:08:27.375943000,47.0949653395053,89.707091734322,20266.6847343936
17:08:27.385943400,47.1020532420885,89.7058228094503,20255.9704654761
17:08:27.395943199,47.1115326514988,89.7049043709989,20262.3594897851
17:08:27.405943199,47.1247965347671,89.7039385012987,20250.9280212816
17:08:27.415943599,47.1344099233482,89.7041462299307,20243.7556925851
17:08:27.425943400,47.1475575199079,89.7039944659324,20242.4178289259
17:08:27.435943099,47.1550919121955,89.7046531719872,20240.4356257307
17:08:27.445943099,47.1656052966927,89.7049215425126,20227.8056669377
17:08:27.455943400,47.1747739946679,89.7040838469916,20237.0054461082
17:08:27.465943400,47.1848928118325,89.7012938471525,20228.5919631802
17:08:27.475943099,47.1975629250494,89.7029674929346,20222.1374739253
17:08:27.485943599,47.2066110411232,89.7023500250699,20217.7301047049
17:08:27.495943300,47.2190370379473,89.7037909837303,20211.6320415949
17:08:27.505943099,47.2292364285371,89.7026265009625,20212.3931018147
17:08:27.515943099,47.2376677931691,89.7028872856055,20208.8977071425
17:08:27.525943499,47.251728004907,89.7018417890707,20206.7202064967
17:08:27.535943300,47.2590395902302,89.7034832915585,20203.5492571853
17:08:27.545943000,47.2729276953958,89.7025380368614,20196.8305050759
17:08:27.555943499,47.2811220357981,89.7040282310533,20195.9226999971
17:08:27.565943300,47.2893233591148,89.6996378294303,20189.8434447292
17:08:27.575943199,47.299985753023,89.7030367518482,20185.8625812385
17:08:27.585943000,47.3099266985825,89.7031710370102,20179.6550120848
17:08:27.595943499,47.3189723312949,89.7008025542672,20178.1341842919
17:08:27.605943199,47.3325796331045,89.700794154705,20176.0825504653
17:08:27.615943199,47.3402242291765,89.70113871092,20173.3299757409
17:08:27.625943400,47.3512327345942,89.7004991398276,20168.2329286038
17:08:27.635943400,47.3616919286665,89.7024003055298,20162.6695570145
17:08:27.645943199,47.3707933262491,89.700419226907,20161.9830928516
17:08:27.655942900,47.3820614506424,89.7012993491672,20153.0204453728
17:08:27.665943400,47.390994045436,89.6995366704931,20152.7066248681
17:08:27.675943199,47.4023140778419,89.701020240628,20152.1852827069
17:08:27.685943099,47.4122462254137,89.6994915352551,20144.5533246551
17:08:27.695943599,47.425406424986,89.7048237443878,20138.4894105165
17:08:27.705943400,47.4343127881132,89.7006806877575,20137.1664537412
17:08:27.715943099,47.4497026277355,89.7009147776415,20129.0358140576
17:08:27.725943099,47.4577133166018,89.7003479911992,20128.3945651695
17:08:27.735943300,47.4710644100144,89.7031770298027,20126.194348094
17:08:27.745943300,47.4784320762092,89.7001478527933,20124.8229845441
17:08:27.755943099,47.4888743995179,89.6995571177949,20114.6045613795
17:08:27.765943499,47.4959206262589,89.6990191485872,20116.9679822753
17:08:27.775943300,47.5074569812078,89.6995818463493,20111.4955192873
17:08:27.785943000,47.5167740981119,89.6971180599734,20109.0110533065
17:08:27.795943000,47.5281691234792,89.703334196035,20102.6816906874
17:08:27.805943499,47.539676694234,89.6997499825259,20102.3177531913
17:08:27.815943300,47.546366497165,89.7005201213037,20093.5761984848
17:08:27.825943000,47.5578352429349,89.7000927812762,20096.5877587517
17:08:27.835943499,47.5690204758803,89.7017362713065,20085.8252511603
17:08:27.845943199,47.5818395940596,89.6985545285877,20083.604849341
17:08:27.855943199,47.5925881624135,89.6997604500814,20077.4872424367
17:08:27.865943000,47.6010315747886,89.6956981423328,20080.0365817588
17:08:27.875943400,47.612782390888,89.7026335624595,20074.7921250477
17:08:27.885943199,47.6246202186221,89.6994405400994,20069.5821048811
17:08:27.895942900,47.6332861111667,89.7001085488074,20071.0713021344
17:08:27.905943700,47.6476425084902,89.6973022963329,20063.3017179496
17:08:27.915943400,47.6550631731314,89.6964428169921,20059.7693342855
17:08:27.925943199,47.6663236034882,89.6977048366396,20058.7690339994
17:08:27.935942900,47.6766476670807,89.6997861961773,20053.1908814167
17:08:27.945943400,47.6881754824085,89.6981055303177,20048.8876317439
17:08:27.955943400,47.6993819113454,89.6982241231379,20043.6639955006
17:08:27.965943099,47.7103115646371,89.6990020366969,20043.9468807524
17:08:27.975943599,47.7202966637196,89.6981455861902,20039.7391877317
17:08:27.985943300,47.7301757708797,89.6974497015809,20029.9261480887
17:08:27.995943099,47.7399985299692,89.6983508538117,20027.6948186703
17:08:28.005942800,47.7504472316709,89.6973854229501,20025.1208934431
17:08:28.015943499,47.7621695233076,89.6974860259221,20021.4180863464
17:08:28.025943300,47.7744530112802,89.6981694413299,20021.0055777583
17:08:28.035943000,47.7845332342651,89.7002562639942,20011.3787375497
17:08:28.045943499,47.7958026885826,89.6980062007459,20014.7798821244
17:08:28.055943300,47.8029290577934,89.6964511832759,20005.6247688592
17:08:28.065943300,47.8134347509999,89.6987581105849,20007.5671277199
17:08:28.075943000,47.8229044135245,89.6975718952786,20001.1342681271
17:08:28.085943499,47.8367351536079,89.6971247555647,19996.4493769284
17:08:28.095943199,47.8454136693439,89.6968005904075,19989.8454557147
17:08:28.105943000,47.8562862231697,89.6980467307752,19985.5503470322
17:08:28.115943499,47.8672784947913,89.6969785965878,19980.2614282489
17:08:28.125943400,47.8746606901471,89.6955624272718,19981.2906120198
17:08:28.135943199,47.8878935197732,89.694724855697,19975.7869579677
17:08:28.145942900,47.9000303681197,89.6942673128197,19978.6132575631
17:08:28.155943400,47.9063336398161,89.6968799353845,19970.5403538286
17:08:28.165943199,47.9156122206184,89.6976896123799,19969.7739998889
17:08:28.175943199,47.9294978379572,89.6952510223117,19968.0811326311
