Time [HH:MM:SS],H [deg],V [deg],D [mm]
16:31:48.565277000,46.37718886961,89.5449405491757,19876.5630316335
16:31:48.575277000,46.3761080213737,89.5458316673495,19874.740730826
16:31:48.585276699,46.3759648764175,89.5441720374207,19872.2682292277
16:31:48.595277199,46.3773768905256,89.5460910589019,19872.396550685
16:31:48.605276900,46.3772179149074,89.5440329229859,19874.2358970205
16:31:48.615276900,46.3765795178213,89.5473953621498,19873.076026258
16:31:48.625277199,46.3756631880194,89.5439282770838,19875.550406072
16:31:48.635277199,46.376945645581,89.5415608158633,19874.560224719
16:31:48.645276900,46.3760531721379,89.5470444729404,19872.6203109008
16:31:48.655276900,46.3753539130283,89.545484835685,19877.4358729116
16:31:48.665277099,46.3751351534272,89.5439430494698,19874.2450837507
16:31:48.675276900,46.378291880556,89.5453951537302,19876.6538491529
16:31:48.685276900,46.3765923271717,89.5454785258288,19878.4240912236
16:31:48.695277300,46.3786701780519,89.5439690866129,19869.3083668377
16:31:48.705277099,46.3783637267399,89.5453203075422,19869.3535306409
16:31:48.715276799,46.3753834335099,89.5466996265608,19873.9153227692
16:31:48.725276799,46.3761079763271,89.5437933357341,19874.1792438148
16:31:48.735277300,46.3748713547318,89.5451160938036,19873.6281797302
16:31:48.745277099,46.3770523589627,89.5456535683066,19873.5323551354
16:31:48.755276799,46.3780922860564,89.5477916486482,19870.8915072114
16:31:48.765277300,46.3768825020838,89.5435071144407,19875.0683671621
16:31:48.775277000,46.3740308206493,89.5462104912775,19873.6125188113
16:31:48.785276799,46.37665154177,89.5440208745679,19873.0616445913
