Time [HH:MM:SS],X [m],Y [m],Z [m]
17:10:27.0324917,14.124699,13.973887,0.113437
17:10:27.0424914,14.129133,13.975110,0.113438
17:10:27.0524912,14.133472,13.976423,0.113458
17:10:27.0624917,14.137759,13.977830,0.113422
17:10:27.0724914,14.141985,13.979337,0.113437
17:10:27.0824914,14.146249,13.980944,0.113356
17:10:27.0924912,14.150561,13.982608,0.113350
17:10:27.1024916,14.154946,13.984234,0.113333
17:10:27.1124914,14.159463,13.985774,0.113340
17:10:27.1224911,14.163951,13.987321,0.113326
17:10:27.1324916,14.168336,13.988992,0.113284
17:10:27.1424916,14.172758,13.990732,0.113294
17:10:27.1524913,14.177084,13.992527,0.113267
17:10:27.1624911,14.181367,13.994441,0.113270
17:10:27.1724916,14.185562,13.996535,0.113242
17:10:27.1824913,14.189727,13.998768,0.113244
17:10:27.1924913,14.193814,14.001091,0.113133
17:10:27.2024918,14.197907,14.003532,0.113154
17:10:27.2124915,14.202032,14.006042,0.113080
17:10:27.2224913,14.206166,14.008503,0.113164
17:10:27.2324910,14.210304,14.010882,0.113012
17:10:27.2424915,14.214261,14.013186,0.113054
17:10:27.2524915,14.218057,14.015541,0.113039
17:10:27.2624912,14.221676,14.018014,0.113055
17:10:27.2724917,14.225345,14.020624,0.113019
17:10:27.2824915,14.228927,14.023335,0.112998
17:10:27.2924912,14.232515,14.026172,0.112987
17:10:27.3024912,14.236104,14.029053,0.112905
17:10:27.3124917,14.239755,14.032002,0.112906
17:10:27.3224914,14.243498,14.034982,0.112881
17:10:27.3324912,14.247251,14.037992,0.112872
17:10:27.3424916,14.250962,14.041009,0.112898
17:10:27.3524914,14.254491,14.043991,0.112932
17:10:27.3624914,14.257832,14.046974,0.112975
17:10:27.3724911,14.261093,14.049957,0.113013
17:10:27.3824916,14.264266,14.052980,0.113017
17:10:27.3924913,14.267296,14.056125,0.113022
17:10:27.4024911,14.270304,14.059463,0.112908
17:10:27.4124916,14.273363,14.062932,0.112901
17:10:27.4224916,14.276556,14.066456,0.112866
17:10:27.4324913,14.279853,14.070013,0.112853
17:10:27.4424911,14.283177,14.073668,0.112869
17:10:27.4524915,14.286526,14.077334,0.112880
17:10:27.4624915,14.289763,14.080943,0.112907
17:10:27.4724913,14.292816,14.084509,0.112968
